Key	Flatness_Score
2dm-1347	0.000000
2dm-4471	0.987387
2dm-1587	0.000000
2dm-4957	0.000000
2dm-4728	0.000000
2dm-1633	0.000000
2dm-876	0.000000
2dm-697	0.655158
2dm-3940	0.056294
2dm-3405	0.961484
2dm-1807	0.000000
2dm-2143	0.000000
2dm-1336	0.000000
2dm-412	0.000000
2dm-967	0.000000
2dm-3725	0.855712
2dm-1450	0.996562
2dm-5839	0.991358
2dm-1442	0.000000
2dm-4917	0.000000
2dm-5709	0.570141
2dm-628	0.995447
2dm-5658	0.948831
2dm-5087	0.938868
2dm-2542	0.000000
2dm-94	0.000000
2dm-166	0.000000
2dm-2032	0.000000
2dm-1461	0.966398
2dm-3172	0.088417
2dm-2704	0.000000
2dm-6424	0.000000
2dm-1322	0.000000
2dm-616	0.000000
2dm-1738	0.005278
2dm-5213	0.407070
2dm-1473	0.592567
2dm-1930	0.226701
2dm-1269	0.000000
2dm-1510	0.242001
2dm-458	0.000000
2dm-4321	0.000000
2dm-2696	0.000000
2dm-1502	0.000000
2dm-2863	0.000000
2dm-258	0.000000
2dm-5501	0.000000
2dm-417	0.000000
2dm-4332	0.814349
2dm-3139	0.000000
2dm-2634	0.987664
2dm-1178	0.974836
2dm-3855	0.342886
2dm-5389	0.915816
2dm-5279	0.931000
2dm-4476	0.000000
2dm-2047	0.026648
2dm-60	0.000000
2dm-5046	0.974391
2dm-4235	0.983782
2dm-6402	0.000000
2dm-4988	0.000000
2dm-5170	0.905247
2dm-27	0.000000
2dm-995	0.000000
2dm-4908	0.905657
2dm-935	0.967744
2dm-1464	0.000000
2dm-2637	0.542362
2dm-4669	0.000000
2dm-1037	0.014870
2dm-440	0.957508
2dm-4371	0.000000
2dm-6457	0.708864
2dm-108	0.185498
2dm-4668	0.000000
2dm-4234	0.013840
2dm-5111	0.000000
2dm-2122	0.000000
2dm-1413	0.000000
2dm-3209	0.092871
2dm-3517	0.674313
2dm-1015	0.000000
2dm-549	0.000000
2dm-4501	0.477116
2dm-1813	0.483586
2dm-3	0.000000
2dm-2812	0.000000
2dm-1429	0.000000
2dm-948	0.000000
2dm-5165	0.012673
2dm-1608	0.982512
2dm-2053	0.000000
2dm-3678	0.000000
2dm-461	0.000000
2dm-5584	0.000000
2dm-2514	0.643127
2dm-499	0.909629
2dm-2086	0.699602
2dm-2285	0.115133
2dm-3160	0.000000
2dm-4885	0.895400
2dm-4344	0.000000
2dm-2381	0.000000
2dm-5044	0.000000
2dm-4350	0.312671
2dm-468	0.224056
2dm-2587	0.000000
2dm-2741	0.557657
2dm-4316	0.955873
2dm-2516	0.000000
2dm-2751	0.000000
2dm-456	0.615855
2dm-1534	0.000000
2dm-2218	0.944641
2dm-1245	0.833190
2dm-5651	0.929627
2dm-3225	0.000000
2dm-1488	0.971530
2dm-4433	0.934881
2dm-395	0.000000
2dm-1455	0.000000
2dm-5713	0.999229
2dm-765	0.000000
2dm-4720	0.000000
2dm-1062	0.000000
2dm-3289	0.417958
2dm-2289	0.945880
2dm-1249	0.000000
2dm-4122	0.947830
2dm-4492	0.932343
2dm-5073	0.929257
2dm-3642	0.980833
2dm-2196	0.000000
2dm-57	0.000000
2dm-4842	0.960069
2dm-677	0.000000
2dm-991	0.948928
2dm-3967	0.000000
2dm-786	0.357991
2dm-3324	0.490852
2dm-2255	0.000000
2dm-3387	0.781745
2dm-1601	0.000000
2dm-1849	0.952623
2dm-2362	0.047462
2dm-5417	0.990293
2dm-1631	0.000000
2dm-1543	0.000000
2dm-6442	0.000000
2dm-5108	0.918282
2dm-1436	0.965170
2dm-8	0.000000
2dm-2829	0.987580
2dm-1501	0.743972
2dm-3957	0.886772
2dm-959	0.000000
2dm-2146	0.729828
2dm-427	0.000000
2dm-1850	0.489931
2dm-1927	0.885541
2dm-1506	0.258580
2dm-2327	0.046304
2dm-593	0.000000
2dm-329	0.966207
