Key	Predicted_Flatness_Score
1SrI2-3	1.057973
1NiC2N2S2-1	1.050397
2AsHSeO5-1	1.043865
2CuPS3-1	1.037277
1BeAs2F4O4-1	1.035987
2AsBeO5-1	1.031737
2CRbO3-1	1.026425
1CoSn2C6N6-1	1.024709
4GeO2-1	1.024104
2Ge2H2O5-1	1.019288
1BBe2O5-1	1.017688
2CdNa2Cl4-1	1.017179
2AsHSb2O6-1	1.01421
2SbCl3-1	1.01046
1MnSn2C6N6-1	1.009277
2CKNO-1	1.008509
2AsHTeO5-1	1.007138
1MgN8-1	1.006983
1CoRe2O8-1	1.006496
1NaNiAs2S6-1	1.006221
2SrCl2O4-1	1.00515
1ZnB2C8N8-1	1.003796
2SeCu2-1	1.003482
2BiBr3-1	1.002434
1NiSn2C6N6-1	1.002353
2NiPS3-1	1.000091
2ISr-1	0.999922
2CRbO3-2	0.998654
1PbF4-1	0.997635
1CoNaAs2S6-1	0.997423
2HSbTeO5-1	0.996984
1NaTlCl4O12-1	0.996573
1LiTlCl4O12-1	0.995075
2BNaF4O4-1	0.994406
1Cu3I4-1	0.99346
2BiCl3-1	0.993359
1NaNiP2S6-1	0.993057
1NaMo2O2Cl6-1	0.991901
2CuPSe3-1	0.991409
1NiRe2O8-1	0.991145
2NiBi2I2O3-1	0.99014
1MnRe2O8-1	0.989171
1CuTlP2Se6-1	0.988859
1NaNiP2Se6-1	0.98856
2CFRbO3-1	0.988454
2AsClGeO3-1	0.988235
2BKF4O4-1	0.985713
1LiMo2O2Cl6-1	0.985695
2IRbO3-1	0.984661
2MoBr3-1	0.984497
1AgCrP2Se6-1	0.984149
2CHRbO3-1	0.983585
2CuF-2	0.982991
1MoPbO4-1	0.982599
2KOC2-1	0.98212
4KSO2-1	0.981879
1SrF2-2	0.981654
1NiGe2C12-1	0.980625
1AgSnF6-1	0.980415
1BeP2F4O4-1	0.980307
2ScCl3-1	0.980073
2CKO3-1	0.979973
1Sb2Ge3O9-1	0.979067
2ClNaO2-1	0.978908
2GeTeO4-1	0.978722
2CoPS3-1	0.978144
1GaNaCl4O12-1	0.977502
1Bi2Ge3O9-1	0.977345
1AlNaCl4O12-1	0.977248
1InNaCl4O12-1	0.976469
1KTlCl4O12-1	0.976113
1FeSn2C6N6-1	0.975265
1CuPbF6-1	0.975173
2GeZnO3-1	0.974236
2FOTl-1	0.974217
2ClLiO2-1	0.973987
1AgPbF6-1	0.973799
1CuGaP2Se6-1	0.973687
2PbCl2-2	0.973634
2TeCu2-1	0.973276
2CuPSe3-2	0.972811
2CNNaS-1	0.972514
1AuGaAs2O6-1	0.971975
2SnZnO3-1	0.971629
1GaKCl4O12-1	0.971594
2CHKO3-1	0.97111
1AgGaSb2O6-1	0.970806
1AuPbF6-1	0.970402
2HNRbO3-1	0.970322
4AsKO2-1	0.969937
1Cu3Cl4-1	0.969814
2NNaOOsCl5-1	0.969539
2HSb3O6-1	0.969463
4KO3-1	0.969333
2CaCl2O4-1	0.969044
1CoC2N2S2-1	0.969031
2FLiO2-1	0.968932
2CNNaO-1	0.968923
2CuC2F2O4-1	0.968651
1AsPb2O6-1	0.968484
2CCsO3-1	0.968021
1As2Ge3O9-1	0.967795
2CrCuP2S6-2	0.967474
2NRbO3-1	0.966924
1LiO2W2Cl6-1	0.966772
2BiBr3-2	0.965604
1MgNa2S2F4O8-1	0.96553
4CdCl2-2	0.964928
2NNaOsSCl5-1	0.964668
1SrAs2F12-1	0.964411
2NaSe2O6-1	0.964365
4BrClMn-1	0.964332
1CuGaP2S6-1	0.964177
2FeBr3-1	0.964116
9ClCu-1	0.964044
2CNaO3-1	0.963997
1AlKCl4O12-1	0.963892
2GeSeO4-1	0.963782
2HKNO3-1	0.963702
2CKO3-2	0.963664
1AgGaAs2O6-1	0.963153
2CaClF-1	0.962967
2NiI2Sb2O3-1	0.962795
2SeSnO4-1	0.962493
1AuSnF6-1	0.962394
2ClKO3-1	0.96222
1PbF2-1	0.96209
4BrClZn-1	0.961785
2CCsO3-2	0.961222
1NiGe2C6N6-1	0.961163
2AuSbO3-1	0.960529
2AgCrO4-1	0.960431
2MoCl3-2	0.960424
1AgGaP2Se6-1	0.960048
2PbBr2-2	0.959814
1MnNa2P2F3O7-1	0.959804
1NiF2-2	0.959536
2SCu2-1	0.958602
4SbO2-2	0.958495
1ClCu-1	0.958474
2CoI2Sb2O3-1	0.958328
2NNaF2-1	0.958165
2ClKF4-1	0.958144
2BrKF4-1	0.957921
1NiZn2C6N6-1	0.957829
1GeCl2-3	0.957368
1MgF2-2	0.95715
2BrRbF4-1	0.956653
1AgTlP2O6-1	0.956537
2ZnBr2Sb2O3-1	0.956018
2NbPS3-2	0.955971
1AlCuP2Se6-1	0.955831
2CNaF2-1	0.955825
1BaAs2F12-1	0.955205
1InKCl4O12-1	0.954844
1ZnRe2O8-1	0.954653
1InLiCl4O12-1	0.954648
4BeF2-1	0.95457
2PdCl3-1	0.954443
2AgF3-3	0.954368
4CuFHO-1	0.954326
1NiPb2C12-1	0.953904
2NaTaCl6-1	0.953855
2CFNaO3-1	0.953702
1AlCuP2S6-1	0.953679
1Fe2Sb2O7-1	0.953433
2FNaS-2	0.953267
1Cu3I5-1	0.953153
1SrBi2F12-1	0.953139
1NaTlBr4O12-1	0.952667
2CKNS-1	0.952307
1As2Co2O7-1	0.952263
1SnK2F6O6-1	0.952154
2NNaRuSCl5-1	0.952048
1AlNaSb2O6-1	0.951494
2CCsHO3-1	0.951345
1PbCl2-3	0.951327
1PdZrF6-2	0.950946
2F2Si2O5-1	0.95093
2ClMoNiO4-1	0.950872
1AgAlAs2O6-1	0.950497
1AgInP2O6-1	0.950322
1Bi2Si3O9-1	0.950271
1InNaAs2O6-1	0.950142
2HPSb2O6-1	0.950014
2CaBr2S2F4-1	0.949775
1AgGaP2O6-1	0.949765
3AgBr-2	0.949714
1PdRe2O8-1	0.949574
2ClGePO3-1	0.949553
2RhCl3-1	0.949
1NiCl2N2C4-1	0.948991
2KTaCl6-1	0.948761
2FNaO2-1	0.948758
2KNOOsCl5-1	0.948619
2KNOsSCl5-1	0.948542
1AgVP2Se6-1	0.948438
4CuF2-1	0.948172
1CuI-1	0.948079
1AlAuAs2O6-1	0.947938
1GaNaP2O6-1	0.947924
1Be2Cl5-1	0.947774
1SnO2-2	0.947675
1As2Si3O9-1	0.947634
1GeCd2O4-1	0.947619
2AgBr3-5	0.947224
1NiMn2C12-1	0.947209
2AsAuO3-1	0.94718
2KNORuCl5-1	0.946821
2CuF-1	0.946819
1AgAlP2Se6-1	0.946708
1FeSbO3-1	0.946594
1BGeLiO4-1	0.94641
2IrCl3-1	0.946313
1GeNa2F6O6-1	0.94618
2CaPb2Cl6-1	0.946106
2FeI3-1	0.94603
2NNaO3-2	0.945991
2BrCoI-1	0.945136
2YCl3-1	0.945058
2ZnBr2-1	0.945029
2PTlO3-2	0.944818
1LiNiP2Se6-1	0.944613
1PdZrF6-1	0.944509
2ClNiWO4-1	0.944445
2ZnCl2Sb2O3-1	0.944027
1CuSnF6-1	0.943939
2Sb2O3-5	0.943784
1LiNiP2S6-1	0.94376
1As2Sn3O9-1	0.94375
1SrAg2F12-1	0.943625
2BiI3-1	0.943611
2RuI3-1	0.943369
2InF3-2	0.943311
2CHNaO3-1	0.943015
2CoCl3-1	0.942839
2ClCoWO4-1	0.942375
1GaLiCl4O12-1	0.942271
2ClCu-1	0.942261
2NaNbF6-1	0.942241
1MnGe2C6N6-1	0.942096
1CdO-1	0.94185
2AgCIO-1	0.941438
2WCl2O2-1	0.941325
4VI3-1	0.941197
4MnCl2-1	0.940947
2CFKO3-1	0.940733
2ClRbF4-1	0.940573
1CuTlP2S6-1	0.940229
2ClNaS2F4-1	0.940127
4NaOS2-1	0.939903
1PbCl2-1	0.939858
2IRbF4-1	0.939812
1Co2P2S5-1	0.939441
1LiTlBr4O12-1	0.939348
2CKNSe-1	0.939335
1Sb2Si3O9-1	0.93933
4NaSO2-1	0.939105
2CrPS3-2	0.938991
2HRbSeO3-1	0.938961
1NiZrF6-2	0.938774
1AsFeO3-1	0.938698
2PdCl3-2	0.938643
2IKF4-1	0.938565
2FTeNa3O4-1	0.938521
2ClPbSbO3-1	0.938401
2MoI3-2	0.938097
1PTeNa2O11-1	0.937924
2BrCoMoO4-1	0.937639
2AgClBr2-1	0.937376
