Key	S_bandwidth	peak_contrast	S_DOS	Spin
2dm-1347	-1.0000	6.2111022447433895	0.8613249450555273	1
2dm-4471	0.9469	4.346012904494874	0.8129447089139628	-1
2dm-1587	-1.0000	2.778003483214665	0.7353099317025749	1
2dm-4957	-1.0000	0.8196317683204583	0.45043826041627544	1
2dm-4728	-1.0000	1.325936911125292	0.570065724819596	-1
2dm-1633	-1.0000	1.2776599286918107	0.5609528940633571	-1
2dm-876	-1.0000	3.372322008124302	0.7712885743223215	1
2dm-697	0.4012	3.0675394382349856	0.7541511237481874	1
2dm-3940	0.0301	3.4041255635136167	0.7729401703973674	-1
2dm-3405	0.7218	7.2381997130612445	0.8786142561687899	1
2dm-1807	-1.0000	2.6503939704232464	0.7260569658775613	1
2dm-2143	-1.0000	0.8285860320248529	0.4531293674530219	1
2dm-1336	-1.0000	2.395144418849858	0.7054617192576565	1
2dm-412	-1.0000	0.5790719132229655	0.3667166190303838	1
2dm-967	-1.0000	1.514542163626308	0.6023132900830482	1
2dm-3725	0.9912	0.8001911371939867	0.44450343114191154	1
2dm-1450	0.9856	8.38257205732097	0.8934194169902776	1
2dm-5839	0.9643	5.17817834762671	0.8381399914775621	1
2dm-1442	-1.0000	0.877131899559948	0.46727238494299317	1
2dm-4917	-1.0000	29.578982339601424	0.9672977998778937	1
2dm-5709	0.4151	1.733165169551756	0.6341238315414351	1
2dm-628	0.9994	6.239241104927082	0.8618639736533443	-1
2dm-5658	0.9382	1.7225255414435097	0.6326939877045964	1
2dm-5087	0.7604	3.0473404842290623	0.7529241723307892	-1
2dm-2542	-1.0000	1.0508346354493467	0.512393645633503	1
2dm-94	-1.0000	3.265403919624885	0.7655556146982807	-1
2dm-166	-1.0000	0.6185712544992937	0.3821711603859227	-1
2dm-2032	-1.0000	1.3352005314145825	0.5717712519557218	1
2dm-1461	0.7657	5.781435898109641	0.8525386046517441	1
2dm-3172	0.0876	1.5145786982731542	0.6023190681259116	1
2dm-2704	-1.0000	1.9503493315852707	0.6610570859205057	1
2dm-6424	-1.0000	4.744006036134036	0.8259054754279048	1
2dm-1322	-1.0000	1.0799377322388228	0.5192163762885293	1
2dm-616	-1.0000	0.939591110059162	0.48442741626636054	1
2dm-1738	0.0000	2.04600535585332	0.6717011681944808	1
2dm-5213	0.2272	4.345785400884343	0.8129367482962238	1
2dm-1473	0.3751	2.618488313553001	0.7236415007188187	-1
2dm-1930	0.1222	5.919114203329501	0.8554728292360319	1
2dm-1269	-1.0000	2.7255335393381723	0.7315820702079503	1
2dm-1510	0.1337	5.201267766637477	0.8387426510785501	1
2dm-458	-1.0000	1.5479092275633717	0.6075213397785272	1
2dm-4321	-1.0000	1.4297687729183917	0.5884382040193473	1
2dm-2696	-1.0000	0.43053719828779896	0.3009619035444211	1
2dm-1502	-1.0000	0.7069896360463784	0.4141733617574054	1
2dm-2863	-1.0000	0.7162857036044076	0.4173464255398276	1
2dm-258	-1.0000	0.6711607551792115	0.4016135210805843	1
2dm-5501	-1.0000	3.6154868627149686	0.7833381331711191	1
2dm-417	-1.0000	1.6561460619423671	0.6235146800365612	1
2dm-4332	0.5481	2.924643531859843	0.7451997890045031	1
2dm-3139	-1.0000	2.1382645456306264	0.6813525483719052	1
2dm-2634	0.9750	3.7860815207509995	0.7910608092101435	1
2dm-1178	0.9411	2.7185533698049986	0.7310782176423516	1
2dm-3855	0.2246	2.5435853899455796	0.7177999427254221	1
2dm-5389	0.8151	1.8244000390247361	0.645942505954185	-1
2dm-5279	0.7015	3.799662124202308	0.7916520008861669	1
2dm-4476	-1.0000	3.4698934329444957	0.7762810198941902	1
2dm-2047	0.8677	0.0	0.0	1
2dm-60	-1.0000	4.580442224000655	0.8208027321384768	1
2dm-5046	0.9994	2.163212060442259	0.6838656464087373	-1
2dm-4235	0.8863	5.170738225587675	0.8379448352138185	1
2dm-6402	-1.0000	0.44673262472003555	0.30878727491645874	1
2dm-4988	-1.0000	0.7338518948164087	0.42324946958293325	1
2dm-5170	0.5782	7.193189945445603	0.8779474164936362	1
2dm-27	-1.0000	1.260954055394002	0.5577088364028093	1
2dm-995	-1.0000	2.1104698985203574	0.6785051671852869	1
2dm-4908	0.5849	6.65787861031786	0.8694155325663366	1
2dm-935	0.9462	2.25743463311355	0.6930099564134089	-1
2dm-1464	-1.0000	1.9506313136033766	0.6610894775671659	1
2dm-2637	0.5005	1.0172409530981903	0.5042733995340791	1
2dm-4669	-1.0000	2.5859247773930423	0.7211319082027713	1
2dm-1037	0.0071	2.17887622472752	0.6854234234660345	1
2dm-440	0.9258	2.023036514848691	0.6692067743514993	1
2dm-4371	-1.0000	0.5987337621214853	0.37450498407375754	1
2dm-6457	0.4037	4.570499238258997	0.8204828764481548	1
2dm-108	0.1091	4.124072249837829	0.8048427205467977	1
2dm-4668	-1.0000	1.3182133550741397	0.5686333193572605	1
2dm-4234	0.0003	2.7958700845111335	0.7365557888610434	1
2dm-5111	-1.0000	1.2820360430378934	0.5617948265756665	1
2dm-2122	-1.0000	1.129936603229188	0.530502457921093	1
2dm-1413	0.0038	1.456483822135101	0.5929140705144843	1
2dm-3209	0.0773	1.928437284929763	0.658520943867854	1
2dm-3517	0.4012	3.5163705768145137	0.7785832710155242	1
2dm-1015	-1.0000	1.5660610213655217	0.6102976540020654	1
2dm-549	-1.0000	0.9916443545319472	0.497902324918342	1
2dm-4501	0.2810	3.3674072018142436	0.7710311968197985	1
2dm-1813	0.3380	1.9502066134999212	0.661040689345595	1
2dm-3	-1.0000	1.3468455660779057	0.5738961206249206	1
2dm-2812	-1.0000	1.1777571126131134	0.540811969246612	1
2dm-1429	-1.0000	2.669330031028925	0.7274706849632744	1
2dm-948	-1.0000	3.1054403742477796	0.75642077125935	-1
2dm-5165	0.0037	2.296975494861796	0.6966917098539374	-1
2dm-1608	0.9453	3.444050476689009	0.7749800536142787	-1
2dm-2053	-1.0000	3.657924192217215	0.785312092096546	1
2dm-3678	-1.0000	5.361945855949062	0.8428153865747067	1
2dm-461	-1.0000	1.4774587707799545	0.596360588602175	1
2dm-5584	-1.0000	0.8951558427840528	0.472338908798675	1
2dm-2514	0.3560	4.730517620526645	0.8254956940681917	1
2dm-499	0.5932	6.572827473444008	0.8679489261432738	1
2dm-2086	0.4140	3.738853313073344	0.7889784861579819	1
2dm-2285	0.2730	0.4374638712574393	0.30433034179479057	1
2dm-3160	-1.0000	1.0418499688643033	0.5102480518898214	-1
2dm-4885	0.5875	5.289652120694281	0.8410086947877786	1
2dm-4344	-1.0000	1.0517508127026403	0.5126113786289846	1
2dm-2381	-1.0000	3.9536716053775196	0.79812953306908	-1
2dm-5044	-1.0000	5.60145561664542	0.8485182574766507	-1
2dm-4350	0.2112	2.3923612923775015	0.7052200771636679	-1
2dm-468	0.1277	4.5837104311162005	0.8209076182698649	1
2dm-2587	-1.0000	1.4425192404645242	0.5905866437269834	1
2dm-2741	0.9335	0.36131647447151805	0.2654169557536473	1
2dm-4316	0.6223	60.569215831040125	0.983758116998855	1
2dm-2516	-1.0000	2.5870147101250227	0.721216643696132	1
2dm-2751	-1.0000	1.7800105319728332	0.6402891325413971	1
2dm-456	0.4561	1.6730292368363124	0.6258926067028138	1
2dm-1534	-1.0000	1.1951570589806775	0.544451730271933	1
2dm-2218	0.7815	3.0012777655343683	0.7500798348433452	1
2dm-1245	0.6218	2.1775892962576697	0.6852960194768637	1
2dm-5651	0.7477	2.837603864196274	0.7394207335129849	-1
2dm-3225	-1.0000	2.7877874500298896	0.7359936339637777	1
2dm-1488	0.7810	6.309602625021786	0.8631936575352454	1
2dm-4433	0.9002	1.654449603850202	0.6232740683607144	-1
2dm-395	-1.0000	0.7122458921997409	0.4159717336420126	1
2dm-1455	-1.0000	0.8485825591124994	0.45904498824218165	1
2dm-5713	0.9782	22.844428574357085	0.9580614818727329	1
2dm-765	-1.0000	2.133423310585713	0.6808602282935479	1
2dm-4720	-1.0000	1.4839890759983094	0.5974217400299547	-1
2dm-1062	-1.0000	0.9014687931122599	0.4740907641385827	1
2dm-3289	0.3203	1.597122506404116	0.6149584790343354	1
2dm-2289	0.7358	4.0182037067732415	0.8007255068879995	1
2dm-1249	-1.0000	0.7436346653266757	0.42648536423044403	1
2dm-4122	0.6390	12.41206060133057	0.9254402414569471	1
2dm-4492	0.6772	4.663545365410478	0.8234321550406575	1
2dm-5073	0.7810	2.409492914665932	0.7067012529345639	1
2dm-3642	0.9051	3.961776863405366	0.7984592964316255	1
2dm-2196	-1.0000	2.188390161068653	0.6863620982744377	1
2dm-57	-1.0000	0.7029600888532382	0.41278717772335277	1
2dm-4842	0.8151	3.4115137979176686	0.7733204415064909	1
2dm-677	-1.0000	1.7203455071254152	0.6323996354945741	1
2dm-991	0.8077	2.8348729789923626	0.739235170114355	1
2dm-3967	-1.0000	1.3778133233998004	0.5794455392443513	1
2dm-786	0.3087	1.2904129400147186	0.5633975068296752	1
2dm-3324	0.2843	3.587718833438204	0.7820267465583622	1
2dm-2255	-1.0000	1.3033545906715431	0.5658506058728673	1
2dm-3387	0.5382	2.468040935553378	0.7116527692195667	1
2dm-1601	-1.0000	1.7073046331235315	0.6306289333807781	1
2dm-1849	0.8138	2.94065582447291	0.7462351333020165	-1
2dm-2362	0.0296	2.624611539974267	0.7241083661044958	1
2dm-5417	0.9797	4.340232733481601	0.8127422436609718	1
2dm-1631	-1.0000	1.3478785131860982	0.5740835846557544	1
2dm-1543	-1.0000	1.1446698599214562	0.5337277691604139	1
2dm-6442	-1.0000	3.645438695990533	0.7847350776874749	1
2dm-5108	0.9495	1.246335809860271	0.55483058427395	1
2dm-1436	0.8031	4.192268640549698	0.8074059588923482	-1
2dm-8	-1.0000	2.192499862989067	0.6867658440355509	1
2dm-2829	0.9222	5.140947950312285	0.837158691444511	1
2dm-1501	0.5637	1.7355653737478198	0.6344448538511931	1
