Key	Predicted Flatness Score	if_kag
1SrI2-3	1.057973	0
1NiC2N2S2-1	1.050397	0
2AsHSeO5-1	1.043865	0
2CuPS3-1	1.037277	0
1BeAs2F4O4-1	1.035987	1
2AsBeO5-1	1.031737	0
2CRbO3-1	1.026425	0
1CoSn2C6N6-1	1.024709	0
4GeO2-1	1.024104	0
2Ge2H2O5-1	1.019288	0
1BBe2O5-1	1.017688	0
2CdNa2Cl4-1	1.017179	0
2AsHSb2O6-1	1.01421	0
2SbCl3-1	1.01046	0
1MnSn2C6N6-1	1.009277	1
2CKNO-1	1.008509	0
2AsHTeO5-1	1.007138	0
1MgN8-1	1.006983	0
1CoRe2O8-1	1.006496	1
1NaNiAs2S6-1	1.006221	0
2SrCl2O4-1	1.00515	0
1ZnB2C8N8-1	1.003796	0
2SeCu2-1	1.003482	0
2BiBr3-1	1.002434	0
1NiSn2C6N6-1	1.002353	1
2NiPS3-1	1.000091	0
2ISr-1	0.999922	0
2CRbO3-2	0.998654	0
1PbF4-1	0.997635	0
1CoNaAs2S6-1	0.997423	0
2HSbTeO5-1	0.996984	0
1NaTlCl4O12-1	0.996573	0
1LiTlCl4O12-1	0.995075	0
2BNaF4O4-1	0.994406	0
1Cu3I4-1	0.99346	0
2BiCl3-1	0.993359	0
1NaNiP2S6-1	0.993057	0
1NaMo2O2Cl6-1	0.991901	0
2CuPSe3-1	0.991409	1
1NiRe2O8-1	0.991145	0
2NiBi2I2O3-1	0.99014	0
1MnRe2O8-1	0.989171	1
1CuTlP2Se6-1	0.988859	0
1NaNiP2Se6-1	0.98856	0
2CFRbO3-1	0.988454	0
2AsClGeO3-1	0.988235	0
2BKF4O4-1	0.985713	0
1LiMo2O2Cl6-1	0.985695	0
2IRbO3-1	0.984661	0
2MoBr3-1	0.984497	0
1AgCrP2Se6-1	0.984149	0
2CHRbO3-1	0.983585	0
2CuF-2	0.982991	0
1MoPbO4-1	0.982599	1
2KOC2-1	0.98212	0
4KSO2-1	0.981879	0
1SrF2-2	0.981654	0
1NiGe2C12-1	0.980625	0
1AgSnF6-1	0.980415	1
1BeP2F4O4-1	0.980307	0
2ScCl3-1	0.980073	0
2CKO3-1	0.979973	0
1Sb2Ge3O9-1	0.979067	1
2ClNaO2-1	0.978908	0
2GeTeO4-1	0.978722	0
2CoPS3-1	0.978144	0
1GaNaCl4O12-1	0.977502	0
1Bi2Ge3O9-1	0.977345	1
1AlNaCl4O12-1	0.977248	0
1InNaCl4O12-1	0.976469	0
1KTlCl4O12-1	0.976113	0
1FeSn2C6N6-1	0.975265	1
1CuPbF6-1	0.975173	1
2GeZnO3-1	0.974236	0
2FOTl-1	0.974217	0
2ClLiO2-1	0.973987	0
1AgPbF6-1	0.973799	1
1CuGaP2Se6-1	0.973687	0
2PbCl2-2	0.973634	0
2TeCu2-1	0.973276	0
2CuPSe3-2	0.972811	0
2CNNaS-1	0.972514	0
1AuGaAs2O6-1	0.971975	0
2SnZnO3-1	0.971629	0
1GaKCl4O12-1	0.971594	0
2CHKO3-1	0.97111	0
1AgGaSb2O6-1	0.970806	1
1AuPbF6-1	0.970402	0
2HNRbO3-1	0.970322	0
4AsKO2-1	0.969937	0
1Cu3Cl4-1	0.969814	0
2NNaOOsCl5-1	0.969539	0
2HSb3O6-1	0.969463	0
4KO3-1	0.969333	0
2CaCl2O4-1	0.969044	0
1CoC2N2S2-1	0.969031	0
2FLiO2-1	0.968932	0
2CNNaO-1	0.968923	0
2CuC2F2O4-1	0.968651	0
1AsPb2O6-1	0.968484	0
2CCsO3-1	0.968021	0
1As2Ge3O9-1	0.967795	1
2CrCuP2S6-2	0.967474	0
2NRbO3-1	0.966924	0
1LiO2W2Cl6-1	0.966772	0
2BiBr3-2	0.965604	0
1MgNa2S2F4O8-1	0.96553	1
4CdCl2-2	0.964928	0
2NNaOsSCl5-1	0.964668	0
1SrAs2F12-1	0.964411	1
2NaSe2O6-1	0.964365	1
4BrClMn-1	0.964332	0
1CuGaP2S6-1	0.964177	0
2FeBr3-1	0.964116	0
9ClCu-1	0.964044	1
2CNaO3-1	0.963997	0
1AlKCl4O12-1	0.963892	0
2GeSeO4-1	0.963782	1
2HKNO3-1	0.963702	0
2CKO3-2	0.963664	0
1AgGaAs2O6-1	0.963153	0
2CaClF-1	0.962967	0
2NiI2Sb2O3-1	0.962795	0
2SeSnO4-1	0.962493	0
1AuSnF6-1	0.962394	1
2ClKO3-1	0.96222	0
1PbF2-1	0.96209	0
4BrClZn-1	0.961785	0
2CCsO3-2	0.961222	0
1NiGe2C6N6-1	0.961163	0
2AuSbO3-1	0.960529	0
2AgCrO4-1	0.960431	0
2MoCl3-2	0.960424	0
