material_id	cluster	if_kagome	if_good_ele
2dm-5358	2	0	0
2dm-121	2	0	0
2dm-4056	2	0	0
2dm-5713	2	1	0
2dm-111	2	0	0
2dm-2089	2	0	0
2dm-2866	2	0	0
2dm-1607	2	0	0
2dm-5488	3	0	0
2dm-1101	2	0	0
2dm-5679	2	0	0
2dm-3564	3	0	0
2dm-1419	2	0	0
2dm-1884	3	1	0
2dm-180	2	0	0
2dm-3935	2	0	0
2dm-4530	0	0	0
2dm-807	2	0	0
2dm-1509	2	0	0
2dm-1895	2	0	0
2dm-714	2	0	0
2dm-138	2	0	0
2dm-1968	2	0	0
2dm-2006	2	0	0
2dm-2635	2	0	0
2dm-1209	2	0	0
2dm-5205	2	0	0
2dm-3239	3	0	0
2dm-3857	2	1	0
2dm-5668	2	0	0
2dm-1247	2	0	0
2dm-1750	2	0	0
2dm-5172	2	0	0
2dm-4389	3	0	0
2dm-4513	2	0	0
2dm-2384	3	0	0
2dm-3347	3	0	0
2dm-3048	2	0	0
2dm-1754	2	0	0
2dm-5400	3	0	0
2dm-5591	2	0	0
2dm-3761	3	0	0
2dm-1520	2	0	0
2dm-3258	3	0	0
2dm-1450	2	0	0
2dm-534	3	0	0
2dm-5325	3	0	0
2dm-4833	3	0	0
2dm-3675	2	0	0
2dm-1984	2	0	0
2dm-1476	2	0	0
2dm-4223	3	1	0
2dm-5068	2	0	0
2dm-4886	3	1	0
2dm-4486	2	0	0
2dm-31	2	0	0
2dm-6396	5	0	0
2dm-4620	2	0	0
2dm-4773	2	0	0
2dm-2882	2	0	0
2dm-5645	2	0	0
2dm-3411	2	0	0
2dm-1939	2	0	0
2dm-5194	2	1	1
2dm-4619	2	0	0
2dm-1156	3	0	0
2dm-5148	2	0	0
2dm-628	2	0	0
2dm-5655	2	0	0
2dm-5580	0	0	0
2dm-3995	2	0	0
2dm-5844	3	0	0
2dm-4233	2	1	0
2dm-5163	2	0	0
2dm-2477	2	0	0
2dm-5436	3	0	0
2dm-1031	2	0	0
2dm-5819	3	0	0
2dm-4302	3	0	0
2dm-1999	2	0	0
2dm-3452	2	0	0
2dm-4368	3	1	0
2dm-5042	3	0	0
2dm-4938	2	0	0
2dm-691	2	0	0
2dm-3334	3	0	0
2dm-1814	2	0	0
2dm-4358	2	0	0
2dm-4359	2	0	0
2dm-5664	2	1	0
2dm-3624	3	0	0
2dm-3713	3	0	0
2dm-1888	2	0	0
2dm-614	3	0	0
2dm-4403	3	0	0
2dm-1089	3	0	0
2dm-218	2	0	0
2dm-4291	3	0	0
2dm-419	2	0	0
2dm-5235	2	0	0
2dm-5012	3	0	0
2dm-1063	3	0	0
2dm-361	3	0	0
2dm-3423	2	0	0
2dm-5425	2	0	0
2dm-5837	2	0	0
2dm-3488	3	0	0
2dm-1751	2	1	0
2dm-5678	3	0	0
2dm-4540	2	0	0
2dm-1317	2	0	0
2dm-3676	3	0	0
2dm-3652	3	0	0
2dm-5295	2	0	0
2dm-5433	2	0	0
2dm-3988	2	0	0
2dm-4249	3	0	0
2dm-4254	3	0	0
2dm-3219	3	1	0
2dm-519	2	0	0
2dm-2673	2	0	0
2dm-2555	3	0	0
2dm-4538	2	0	0
2dm-1574	2	0	0
2dm-5614	2	0	0
2dm-1425	2	0	0
2dm-5839	2	0	0
2dm-5489	3	0	0
2dm-1128	2	0	0
2dm-4916	3	0	0
2dm-54	3	0	0
2dm-4791	3	0	0
2dm-1244	5	0	0
2dm-5784	2	0	0
2dm-5479	3	0	0
2dm-4444	2	0	0
2dm-4437	3	0	0
2dm-3130	3	0	0
2dm-5426	2	0	0
2dm-4978	3	0	0
2dm-3640	2	0	0
2dm-485	2	0	0
2dm-5268	2	0	0
2dm-3637	2	0	0
2dm-1337	2	0	0
2dm-5149	2	0	0
2dm-4672	2	0	0
2dm-4418	3	0	0
2dm-2433	2	0	0
2dm-5417	3	0	0
2dm-3975	3	0	0
2dm-877	6	0	0
2dm-5428	3	0	0
2dm-2493	2	0	0
2dm-4679	2	0	0
2dm-3966	2	0	0
2dm-673	2	0	0
2dm-1559	2	0	0
2dm-263	2	0	0
2dm-390	2	0	0
2dm-4785	3	0	0
2dm-824	2	0	0
2dm-5079	2	0	0
2dm-5329	2	0	0
2dm-1837	3	0	0
2dm-1371	2	0	0
2dm-5354	6	0	0
2dm-3647	2	0	0
2dm-4454	3	0	0
2dm-5798	3	0	0
2dm-3825	3	0	0
2dm-5572	4	0	0
2dm-920	2	0	0
2dm-1471	2	0	0
2dm-2004	3	0	0
2dm-4775	2	0	0
2dm-1193	2	0	0
2dm-1041	2	0	0
2dm-3603	2	0	0
2dm-4584	3	0	0
2dm-2393	2	0	0
2dm-801	2	0	0
2dm-6450	3	0	0
2dm-3402	3	0	0
2dm-2769	2	0	0
2dm-5726	3	0	0
2dm-1720	3	0	0
2dm-4925	3	0	0
2dm-1556	2	0	0
2dm-5121	3	0	0
2dm-1976	2	0	0
2dm-1551	2	0	0
2dm-3808	3	1	0
2dm-3879	3	0	0
2dm-3919	3	1	0
2dm-4555	3	0	0
2dm-4782	3	0	0
2dm-1010	3	0	0
2dm-2103	2	0	0
2dm-5185	3	0	0
2dm-537	2	0	0
2dm-5408	3	0	0
2dm-1366	2	0	0
2dm-680	2	0	0
2dm-3662	3	0	0
2dm-2634	2	0	0
2dm-1915	2	0	0
2dm-5568	2	0	0
2dm-2829	2	0	0
2dm-1935	2	0	0
2dm-644	3	0	0
2dm-4471	2	0	0
2dm-4927	2	1	0
2dm-157	0	0	0
2dm-2884	2	0	0
2dm-1427	2	0	0
2dm-5265	3	0	0
2dm-5379	2	0	0
2dm-4851	3	0	0
2dm-4810	3	0	0
2dm-4336	2	0	0
2dm-1311	2	0	0
2dm-740	2	0	0
2dm-5723	2	0	0
2dm-2528	2	0	0
2dm-147	2	0	0
2dm-5049	2	0	0
2dm-1985	2	0	0
2dm-1746	2	0	0
2dm-222	2	0	0
2dm-3519	3	1	0
2dm-5642	3	0	0
2dm-5717	3	0	0
2dm-2618	2	0	0
2dm-5298	2	0	0
2dm-2772	2	0	0
2dm-1653	2	0	0
2dm-5048	3	0	0
2dm-2326	3	0	0
2dm-1979	2	0	0
2dm-4732	2	0	0
2dm-231	2	0	0
2dm-4935	3	0	0
2dm-517	2	0	0
2dm-5715	2	0	0
2dm-1045	2	1	1
2dm-3428	2	0	0
2dm-5187	3	0	0
2dm-5473	3	0	0
2dm-1848	2	0	0
2dm-3511	3	0	0
2dm-3766	2	0	0
2dm-1011	2	0	0
2dm-5460	3	0	0
2dm-5792	3	0	0
2dm-5097	3	1	0
2dm-155	2	0	0
2dm-1548	2	0	0
2dm-1753	2	0	0
2dm-5105	3	0	0
2dm-4074	3	0	0
2dm-4884	3	0	0
2dm-494	2	0	0
2dm-2008	2	0	0
2dm-5243	3	0	0
2dm-4326	3	0	0
2dm-955	2	0	0
2dm-1368	2	0	0
2dm-149	2	0	0
